==========================================
K-Test for Random Sampling Configuration
==========================================
Total experiments: 28
Datasets: cifar10 cifar100
Blocks: ConvNNAttention
K values: 1 2 3 4 5 6 7 8 9 10 11 12 16 25
Learning rate: 1e-4
==========================================

[1/28] Dataset=cifar10 | K=1 | Block=ConvNNAttention
Output: ./Final_Output/K_test_correct_random/ViT-Tiny-CIFAR10/ConvNNAttention_Random_K1_NS32_s42
Files already downloaded and verified
Files already downloaded and verified
Model: VIT ConvNNAttention
Total Parameters: 5481610
Trainable Parameters: 5481610
   - Trainable Parameters: 5.48161000 M
Model Complexity (Profiler):
   - GFLOPs: 2.03378938
   - Trainable Parameters: 5.48161000 M
[Epoch 001] Time: 19.9183s | [Train] Loss: 2.38003699 Accuracy: Top1: 10.0446%, Top5: 49.8390% | [Test] Loss: 2.34667221 Accuracy: Top1: 9.9121%, Top5: 49.8535%
[Epoch 002] Time: 18.1530s | [Train] Loss: 2.33643603 Accuracy: Top1: 10.2463%, Top5: 50.2232% | [Test] Loss: 2.33780442 Accuracy: Top1: 9.7656%, Top5: 49.5605%
[Epoch 003] Time: 18.1387s | [Train] Loss: 2.32617318 Accuracy: Top1: 10.2782%, Top5: 50.1307% | [Test] Loss: 2.31970634 Accuracy: Top1: 9.9121%, Top5: 50.0000%
[Epoch 004] Time: 18.0687s | [Train] Loss: 2.32127790 Accuracy: Top1: 9.8705%, Top5: 50.3021% | [Test] Loss: 2.31874121 Accuracy: Top1: 9.7656%, Top5: 49.7070%
[Epoch 005] Time: 18.0849s | [Train] Loss: 2.31734917 Accuracy: Top1: 9.7429%, Top5: 50.0817% | [Test] Loss: 2.32622625 Accuracy: Top1: 9.9121%, Top5: 49.7070%
[Epoch 006] Time: 18.1981s | [Train] Loss: 2.31850611 Accuracy: Top1: 9.9438%, Top5: 50.0438% | [Test] Loss: 2.30745196 Accuracy: Top1: 10.0586%, Top5: 49.5605%
[Epoch 007] Time: 18.1258s | [Train] Loss: 2.31474395 Accuracy: Top1: 9.9151%, Top5: 50.1543% | [Test] Loss: 2.31539818 Accuracy: Top1: 10.2051%, Top5: 50.5859%
[Epoch 008] Time: 18.1651s | [Train] Loss: 2.31472352 Accuracy: Top1: 10.0191%, Top5: 49.7533% | [Test] Loss: 2.30706958 Accuracy: Top1: 10.2051%, Top5: 50.4395%
[Epoch 009] Time: 18.1104s | [Train] Loss: 2.31320342 Accuracy: Top1: 9.9015%, Top5: 49.5855% | [Test] Loss: 2.32092307 Accuracy: Top1: 9.7656%, Top5: 49.2676%
[Epoch 010] Time: 18.0422s | [Train] Loss: 2.31266797 Accuracy: Top1: 10.0179%, Top5: 50.1570% | [Test] Loss: 2.30906253 Accuracy: Top1: 9.7656%, Top5: 50.4395%
[Epoch 011] Time: 18.2446s | [Train] Loss: 2.31128583 Accuracy: Top1: 9.9904%, Top5: 49.8059% | [Test] Loss: 2.31908216 Accuracy: Top1: 9.7656%, Top5: 49.4141%
[Epoch 012] Time: 18.0388s | [Train] Loss: 2.31140973 Accuracy: Top1: 10.0741%, Top5: 49.8426% | [Test] Loss: 2.30531927 Accuracy: Top1: 10.2051%, Top5: 50.1465%
[Epoch 013] Time: 18.0123s | [Train] Loss: 2.31070947 Accuracy: Top1: 9.8382%, Top5: 49.8824% | [Test] Loss: 2.30812390 Accuracy: Top1: 9.7656%, Top5: 50.0000%
[Epoch 014] Time: 18.1000s | [Train] Loss: 2.31013317 Accuracy: Top1: 9.9633%, Top5: 50.4249% | [Test] Loss: 2.30560374 Accuracy: Top1: 9.9121%, Top5: 50.1465%
